SENTENCE_ID	RELATION_ID	SENTENCE	ARGUMENT_1	ARGUMENT_1_CATEGORY	RELATION	PREDICTED_RELATION	ARGUMENT_2	ARGUMENT_2_CATEGORY
1	1	a kroton anunciou uma parceria com o cubo_itaú , que dará origem à vertical “ cubo education ” , um espaço dedicado ao fomento de edtechs – tecnologia aplicada à educação .	kroton	ORG	anunciou uma parceria com	anunciou uma parceria com	cubo_itaú	ORG
2	2	o evento summit_agrihub reuniu nesta quinta-feira ( 19/04 ) , em cuiabá , produtores rurais vindos de vários municípios de mato_grosso , pesquisadores e empresas de tecnologias do brasil para debater as novidades incorporadas aos sistemas de produção .	summit_agrihub	ORG	reuniu	em	cuiabá	PLC
2	3	o evento summit_agrihub reuniu nesta quinta-feira ( 19/04 ) , em cuiabá , produtores rurais vindos de vários municípios de mato_grosso , pesquisadores e empresas de tecnologias do brasil para debater as novidades incorporadas aos sistemas de produção .	summit_agrihub	ORG	none		mato_grosso	PLC
2	4	o evento summit_agrihub reuniu nesta quinta-feira ( 19/04 ) , em cuiabá , produtores rurais vindos de vários municípios de mato_grosso , pesquisadores e empresas de tecnologias do brasil para debater as novidades incorporadas aos sistemas de produção .	summit_agrihub	ORG	none	do	brasil	PLC
16	5	ousuário consegue comparar prazos , condições , juros dessa modalidade de crédito de diversosbancos , como bradesco , banco_do_brasil , itaú , safra , e faz a contratação ali mesmo , de acordocom a sua necessidde.pr a os bancos , a plataforma é um meio de atração de clientes , mas principalmente , umdegrau para acelerar a corrida pela digitalização de serviços .	bradesco	ORG	none		banco_do_brasil	ORG
16	6	ousuário consegue comparar prazos , condições , juros dessa modalidade de crédito de diversosbancos , como bradesco , banco_do_brasil , itaú , safra , e faz a contratação ali mesmo , de acordocom a sua necessidde.pr a os bancos , a plataforma é um meio de atração de clientes , mas principalmente , umdegrau para acelerar a corrida pela digitalização de serviços .	bradesco	ORG	none		itaú	ORG
16	7	ousuário consegue comparar prazos , condições , juros dessa modalidade de crédito de diversosbancos , como bradesco , banco_do_brasil , itaú , safra , e faz a contratação ali mesmo , de acordocom a sua necessidde.pr a os bancos , a plataforma é um meio de atração de clientes , mas principalmente , umdegrau para acelerar a corrida pela digitalização de serviços .	bradesco	ORG	none	itaú	safra	ORG
18	8	ousuário consegue comparar prazos , condições , juros dessa modalidade de crédito de diversosbancos , como bradesco , banco_do_brasil , itaú , safra , e faz a contratação ali mesmo , de acordocom a sua necessidde.pr a os bancos , a plataforma é um meio de atração de clientes , mas principalmente , umdegrau para acelerar a corrida pela digitalização de serviços .	banco_do_brasil	ORG	none		itaú	ORG
18	9	ousuário consegue comparar prazos , condições , juros dessa modalidade de crédito de diversosbancos , como bradesco , banco_do_brasil , itaú , safra , e faz a contratação ali mesmo , de acordocom a sua necessidde.pr a os bancos , a plataforma é um meio de atração de clientes , mas principalmente , umdegrau para acelerar a corrida pela digitalização de serviços .	banco_do_brasil	ORG	none	itaú	safra	ORG
20	10	ousuário consegue comparar prazos , condições , juros dessa modalidade de crédito de diversosbancos , como bradesco , banco_do_brasil , itaú , safra , e faz a contratação ali mesmo , de acordocom a sua necessidde.pr a os bancos , a plataforma é um meio de atração de clientes , mas principalmente , umdegrau para acelerar a corrida pela digitalização de serviços .	itaú	ORG	none		safra	ORG
0	11	agrotools promove painel sobre transformação digital do seguro rural e o crédito no agronegócio ; evento é restrito a convidados o que o setor de fintech tem a ver com o agtech ?	agrotools	ORG	none		agtech	ORG
1	12	o agfintech – a nova era do seguro e crédito rural vai reunir , na casa_do_saber , em são_paulo , especialistas de instituições financeiras , além de representante do banco_central , para falar sobre temas como a resolução 4.42 7 do bacen , que permite a utilização do sensoriamento remoto para fins de fiscalização de operações de crédito rural .	agfintech	ORG	vai reunir		casa_do_saber	PLC
1	13	o agfintech – a nova era do seguro e crédito rural vai reunir , na casa_do_saber , em são_paulo , especialistas de instituições financeiras , além de representante do banco_central , para falar sobre temas como a resolução 4.42 7 do bacen , que permite a utilização do sensoriamento remoto para fins de fiscalização de operações de crédito rural .	agfintech	ORG	em		são_paulo	PLC
